url,category
https://www.thestandard.co.zw/business/article/200041232/intangible-assets-management-for-entrepreneurial-success,Business
https://www.thestandard.co.zw/politics/article/200038189/human-rights-implications-of-trumps-sanctions-on-south-africa,Business
https://www.thestandard.co.zw/politics/article/200026803/nrz-seeks-to-evict-pastor-from-harare-land-after-us2m-investment,Business
https://www.thestandard.co.zw/politics/article/200024526/prominent-lawyer-gets-death-threats-over-blog,Sports
https://www.thestandard.co.zw/politics/article/200007355/nato-supplying-ukraine-with-military-scrap-metal-to-upgrade-its-own-arsenal,Sports
https://www.thestandard.co.zw/politics/article/200029676/harare-magistrates-court-issues-warrant-of-arrests-for-uz-students,Business
https://www.thestandard.co.zw/standard-style/article/200041528/power-giants-boss-to-attend-top-uk-renewable-energy-conference,Business
https://www.thestandard.co.zw/standard-style/article/200041465/zims-duty-free-car-import-facility-a-good-staff-motivation-scheme,Business
https://www.thestandard.co.zw/standard-style/article/200041473/almasi-hosts-staged-reading-of-august-wilsons-jitney,Business
https://www.thestandard.co.zw/standard-style/article/200041470/muganu-scoops-speaking-award,Sports
https://www.thestandard.co.zw/standard-style/article/200041475/chillmaster-ruling-more-details-emerge,Arts/Culture
https://www.thestandard.co.zw/sport/article/200041505/what-happened-to-mr-cooper,Sports
https://www.thestandard.co.zw/sport/article/200041506/kwinji-also-needs-full-support,Sports
https://www.thestandard.co.zw/sport/article/200041523/caps-united-salvages-point-in-kariba,Sports
https://www.thestandard.co.zw/sport/article/200041526/table-topping-simba-bhora-stumbles,Sports
https://www.thestandard.co.zw/sport/article/200041507/as-mad-as-it-gets,Sports
https://www.theindependent.co.zw/business-digest/article/200041425/kavango-set-to-increase-exploration,Business
https://www.theindependent.co.zw/business-digest/article/200041424/gold-investor-nasdaq-listing-back-on-track,Business
https://www.theindependent.co.zw/business-digest/article/200041423/fcb-takes-prudent-approach-to-balance-sheet-expansion,Business
https://www.theindependent.co.zw/business-digest/article/200041422/zim-airports-company-doubles-down-on-aviation-security-plan,Arts/Culture
https://www.theindependent.co.zw/business-digest/article/200041173/coping-or-cracking-psychological-toll-of-zims-informal-economy,Business
https://www.theindependent.co.zw/local-news/article/200041420/plane-crash-and-meltdown-how-billionaires-death-unravelled-riozim,Arts/Culture
https://www.theindependent.co.zw/business-digest/article/200041422/zim-airports-company-doubles-down-on-aviation-security-plan,Arts/Culture
https://www.theindependent.co.zw/lifestyle-amp-arts/article/200041432/local-artists-take-to-global-stage,Arts/Culture
https://www.theindependent.co.zw/lifestyle-amp-arts/article/200041431/nedbank-half-marathon-and-family-fun-day-report,Arts/Culture
https://www.theindependent.co.zw/lifestyle-amp-arts/article/200041178/ramushu-shortlisted-for-global-production-awards,Arts/Culture
https://www.theindependent.co.zw/lifestyle-amp-arts/article/200041174/malaria-continues-to-be-a-serious-global-challenge,Business
https://www.theindependent.co.zw/lifestyle-amp-arts/article/200040905/early-diagnosis-treatment-of-haemophilia-important,Business
https://www.theindependent.co.zw/sport/article/200041439/seedco-partners-fbc-zim-open-on-85th-anniversary,Arts/Culture
https://www.theindependent.co.zw/sport/article/200041438/fbc-zim-open-chases-dp-world-tour-dream,Arts/Culture
https://www.theindependent.co.zw/sport/article/200041437/zhl-bask-in-fbc-zim-open-association,Arts/Culture
https://www.theindependent.co.zw/sport/article/200041436/zga-credits-fbc-holdings-for-zim-open-success,Arts/Culture
https://www.theindependent.co.zw/sport/article/200041435/sunshine-tour-hails-fbc-zim-open,Arts/Culture
